text,likes,time,text_original,text_clean,sentiment,confidence,analysis
Tapi skr pak pur pun sepertinya sdh masyuk angin,0,11 minutes ago,Tapi skr pak pur pun sepertinya sdh masyuk angin,skr pak pur sepertinya masyuk angin,NEUTRAL,0.2358,
IMF cuma mau mengendalikan BUMN indonesia,0,25 minutes ago,IMF cuma mau mengendalikan BUMN indonesia,imf cuma mau mengendalikan bumn indonesia,POSITIVE,0.3564,Lainnya
Sehat selalu Bapak Purbaya🤲,0,29 minutes ago,Sehat selalu Bapak Purbaya🤲,sehat selalu bapak purbaya,POSITIVE,0.7385,Apresiasi individu
Pinter ngarang,0,31 minutes ago,Pinter ngarang,pinter ngarang,POSITIVE,0.2532,Lainnya
"Sblm Pak Pur, sang (mantan) menkeu srg dipuja-puji WB dn IMF. Pdhl logika sederhana sj org asing yg puja-puji pasti ada maunya. Tinggal kini keberanian org nomor wahid, apakah akan back up terus atau org bgs akan bernasib spt yg sdh2 akan disingkirkan perlahan-lahan?",0,1 hour ago,"Sblm Pak Pur, sang (mantan) menkeu srg dipuja-puji WB dn IMF. Pdhl logika sederhana sj org asing yg puja-puji pasti ada maunya. Tinggal kini keberanian org nomor wahid, apakah akan back up terus atau org bgs akan bernasib spt yg sdh2 akan disingkirkan perlahan-lahan?",sblm pak pur sang mantan menkeu srg dipuja puji wb dn imf pdhl logika sederhana sj org asing puja puji pasti maunya tinggal kini keberanian org nomor wahid apakah back up terus org bgs bernasib spt sdh2 disingkirkan perlahan lahan,NEGATIVE,0.5259,Kepercayaan pihak eksternal
Imf mendesign Indonesia utk jadi kacung kaum elite,0,1 hour ago (edited),Imf mendesign Indonesia utk jadi kacung kaum elite,imf mendesign indonesia kacung kaum elite,NEGATIVE,0.4197,Kepercayaan pihak eksternal
"Gue worry nya Juni di buat gejolak tentang pemerintah. Akhirnya suruh ngutang, mainan kotor politik bukan ekonomi tp jd maksa ke ekonomi. Pangan tolong di stabilkan lagi pak. Soalnya Abis taun baru, lebaran, anak sekolah trus idul adha. Belum lagi kemarau. Jgn sampai ada permainan politik kotor. Yg maksa ekonomi melemah",0,2 hours ago,"Gue worry nya Juni di buat gejolak tentang pemerintah. Akhirnya suruh ngutang, mainan kotor politik bukan ekonomi tp jd maksa ke ekonomi. Pangan tolong di stabilkan lagi pak. Soalnya Abis taun baru, lebaran, anak sekolah trus idul adha. Belum lagi kemarau. Jgn sampai ada permainan politik kotor. Yg maksa ekonomi melemah",worry juni buat gejolak tentang pemerintah akhirnya suruh ngutang mainan kotor politik bukan ekonomi jd maksa ekonomi pangan tolong stabilkan sedang pak soalnya abis taun baru lebaran anak sekolah trus idul adha sedang kemarau jgn sampai permainan politik kotor maksa ekonomi melemah,NEGATIVE,0.498,Kekhawatiran ekonomi
Indonesia gak mau lagi kejebak oleh IMF yang penuh kepentingan elit global,0,2 hours ago,Indonesia gak mau lagi kejebak oleh IMF yang penuh kepentingan elit global,indonesia mau sedang kejebak imf penuh kepentingan elit global,POSITIVE,0.3993,Lainnya
Aok ka,0,2 hours ago,Aok ka,aok ka,NEUTRAL,0.2636,
"The real orang kerja, kliatan banget capeknyaa",0,2 hours ago,"The real orang kerja, kliatan banget capeknyaa",the real orang kerja kliatan banget capeknyaa,POSITIVE,0.4796,Lainnya
